Rank,Region,Score,GDP,Social,Healthy,Freedom,Generosity,Corruption,Area,Population,Continent,Ocupation,Latitude,Longitude
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.39299999999999996,337030.0,5518050,EU,16.3725781087737,61.92411,25.748151
2,Denmark,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,0.41,43094.0,5797446,EU,134.53023622778113,56.26392,9.501785
3,Norway,7.553999999999999,1.4880000000000002,1.5819999999999999,1.028,0.603,0.271,0.341,324220.0,5314336,EU,16.39114181728456,60.472024,8.468946
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.11800000000000001,103000.0,353574,EU,3.432757281553398,64.96305100000001,-19.020835
5,Netherlands,7.4879999999999995,1.396,1.5219999999999998,0.9990000000000001,0.557,0.322,0.298,41526.0,17231017,EU,414.9452632085922,52.132633,5.291266
6,Switzerland,7.48,1.452,1.526,1.052,0.5720000000000001,0.263,0.34299999999999997,41290.0,8516543,EU,206.26163720029064,46.818188,8.227511999999999
7,Sweden,7.343,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.267,0.373,449964.0,10183175,EU,22.631088264838965,60.128161,18.643501
8,New Zealand,7.307,1.3030000000000002,1.557,1.026,0.585,0.33,0.38,268680.0,4885500,OC,18.18334077713265,-40.900557,174.88597099999998
9,Canada,7.278,1.365,1.505,1.0390000000000001,0.584,0.285,0.308,9984670.0,37058856,NT,3.7115754451574263,56.130366,-106.34677099999999
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,83858.0,8847037,EU,105.50021464857258,47.516231,14.550072
11,Australia,7.228,1.3719999999999999,1.548,1.036,0.557,0.332,0.29,7686850.0,24992369,OC,3.2513147778348737,-25.274398,133.775136
12,Costa Rica,7.167000000000001,1.034,1.4409999999999998,0.963,0.5579999999999999,0.14400000000000002,0.09300000000000001,51100.0,4999441,NT,97.83641878669276,9.748917,-83.753428
13,Israel,7.138999999999999,1.276,1.455,1.0290000000000001,0.371,0.261,0.08199999999999999,20770.0,8883800,AS,427.7226769378912,31.046051000000002,34.851612
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.19399999999999998,0.316,2586.0,607728,EU,235.00696055684455,49.815273,6.129583
15,United Kingdom,7.053999999999999,1.3330000000000002,1.538,0.996,0.45,0.348,0.278,244820.0,66488991,EU,271.5831672248999,55.378051,-3.435973
16,Ireland,7.021,1.499,1.5530000000000002,0.9990000000000001,0.516,0.298,0.31,70280.0,4853506,EU,69.05956175298805,53.41291,-8.243889999999999
17,Germany,6.985,1.3730000000000002,1.454,0.987,0.495,0.261,0.265,357021.0,82927922,EU,232.27743466070623,51.165690999999995,10.451526
18,Belgium,6.922999999999999,1.3559999999999999,1.504,0.986,0.473,0.16,0.21,30510.0,11422068,EU,374.37128810226153,50.503887,4.469936
19,United States,6.892,1.433,1.4569999999999999,0.8740000000000001,0.45399999999999996,0.28,0.128,9629091.0,327167434,NT,33.97698017393334,37.09024,-95.712891
21,United Arab Emirates,6.825,1.5030000000000001,1.31,0.825,0.598,0.262,0.182,82880.0,9630959,AS,116.2036558880309,23.424076,53.847818000000004
22,Malta,6.726,1.3,1.52,0.9990000000000001,0.564,0.375,0.151,316.0,483530,EU,1530.1582278481012,35.937496,14.375416
23,Mexico,6.595,1.07,1.3230000000000002,0.861,0.433,0.07400000000000001,0.073,1972550.0,126190788,NT,63.973429317381054,23.634501,-102.552784
24,France,6.5920000000000005,1.324,1.472,1.045,0.436,0.111,0.183,547030.0,66987244,EU,122.4562528563333,46.227638,2.213749
25,Taiwan,6.446000000000001,1.368,1.43,0.914,0.35100000000000003,0.242,0.09699999999999999,35980.0,22894384,AS,636.308615897721,23.69781,120.96051499999999
26,Chile,6.444,1.159,1.369,0.92,0.35700000000000004,0.187,0.055999999999999994,756950.0,18729160,SA,24.74292885923773,-35.675146999999996,-71.542969
27,Guatemala,6.436,0.8,1.2690000000000001,0.746,0.535,0.175,0.078,108890.0,17247807,NT,158.39661125906878,15.783470999999999,-90.23075899999999
28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,1960582.0,33699947,AS,17.188746504864373,23.885942,45.079162
29,Qatar,6.374,1.6840000000000002,1.3130000000000002,0.871,0.555,0.22,0.16699999999999998,11437.0,2781677,AS,243.2173646935385,25.354826,51.183884
30,Spain,6.354,1.286,1.484,1.062,0.36200000000000004,0.153,0.079,504782.0,46723749,EU,92.56223280544869,40.463667,-3.7492199999999998
31,Panama,6.321000000000001,1.149,1.442,0.91,0.516,0.109,0.054000000000000006,78200.0,4176873,NT,53.41269820971867,8.537981,-80.782127
32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,8511965.0,209469333,SA,24.60881042156541,-14.235004,-51.92528
33,Uruguay,6.292999999999999,1.124,1.465,0.8909999999999999,0.523,0.127,0.15,176220.0,3449299,SA,19.57382249460901,-32.522779,-55.765834999999996
