frase,classicacao
"este trabalho e agradável","alegria"
"gosto de ficar no seu aconchego","alegria"
"fiz a adesão ao curso hoje","alegria"
"eu sou admirada por muitos","alegria"
"adoro como você e","alegria"
"adoro seu cabelo macio","alegria"
"adoro a cor dos seus olhos","alegria"
"somo tão amáveis um com o outro","alegria"
"sinto uma grande afeição por ele","alegria"
"quero agradar meus filhos","alegria"
"me sinto completamente amado","alegria"
"eu amo você","alegria"
"que grande alivio","alegria"
"a dor esta amenizando finalmente","alegria"
"acho que me apaixonei","alegria"
"amar e maravilhoso","alegria"
"estou me sentindo muito animada","alegria"
"me sinto muito bem hoje","alegria"
"como o luar e belo","alegria"
"o dia esta muito bonito","alegria"
"nossa como sou afortunado","alegria"
"as maravilhas do mundo","alegria"
"recebi muito carinho hoje do meus colegas","alegria"
"estou me sentindo reconfortada hoje","alegria"
"e muito bom estar com os amigos","alegria"
"estou muito contente com o resultado dos testes","alegria"
"essa pintura esta bem brilhante","alegria"
"temos água em abundancia","alegria"
"que roupa delicada","alegria"
"você e um grande comediante","alegria"
"que bondade a sua em vir aqui","alegria"
"o amor e lindo","alegria"
"nossa amizade vai durar para sempre","alegria"
"estou eufórica com a noticia","alegria"
"ele e realmente fiel a mim","alegria"
"vou dar uma grande festa para comemorar meu aniversário","alegria"
"graças a deus que eu enxerguei o certo","alegria"
"essa e a melhor escolhas de todas","alegria"
"o mais incrível e você minha bela","alegria"
"e tão engraçado tentar explicar","alegria"
"e emocionante estar neste lugar","alegria"
"estou cativada pelo seu olhar","alegria"
"estou loucamente apaixonada","alegria"
"eu nunca tive duvidas","alegria"
"estou rodeada pelo seu abraço","alegria"
"eu vejo estrelas pelo caminho","alegria"
"eu sinto o sol sempre que você esta por perto","alegria"
"eu estou sorrindo de orelha a orelha","alegria"
"isso vale a pena","alegria"
"finalmente você colocou meu amor em primeiro lugar","alegria"
"nós dançamos noite adentro","alegria"
"seu amor e brilhante","alegria"
"toquei muitos corações durante o meu caminho","alegria"
"eu serei sua amiga e companheira","alegria"
"você me traz de volta a vida","alegria"
"você e como um sonho doce","alegria"
"adoro este doce de frutas","alegria"
"meu suco favorito","alegria"
"estou agradecida pela ajuda","alegria"
"e um enorme prazer ter você em nossa equipe","alegria"
"trabalhar em equipe e o melhor","alegria"
"me sinto flutuando no ar","alegria"
"a brisa esta agradável hoje","alegria"
"ótimo e compatível","alegria"
"somos compatíveis um com o outro","alegria"
"o órgão e compatível com o paciente","alegria"
"estou contente fui aceita na faculdade","alegria"
"fui aprovada no meu exame","alegria"
"fui beneficiada pela minha empresa","alegria"
"eu sou muito cativante","alegria"
"estou contente com o apoio","alegria"
"como este lugar e confortável","alegria"
"e bom estar quente neste frio","alegria"
"um elogio nunca e demais","alegria"
"vou te chamar para comemorar","alegria"
"e desejável a sua presença em nossa apresentação","alegria"
"sou muito grata a você","alegria"
"me dedico muito naquilo que faço","alegria"
"estou completamente apaixonada ","alegria"
"vamos agitar essa noite ","alegria"
"você significa muito para mim","alegria"
"vamos agir sem preconceitos e julgamentos","alegria"
"finalmente completei a minha coleção, maravilhoso","alegria"
"eu sou sua rainha ","alegria"
"satisfatoriamente eu anuncio o vencedor dos jogos","alegria"
"você me atrai facilmente ","alegria"
"aquele rapaz e extremamente atraente","alegria"
"sinto-me viva ","alegria"
"sinto-me em paz ","alegria"
"estamos tendo muito lucro","alegria"
"muito bem esta tudo em ordem agora ","alegria"
"podemos arrumar um emprego juntos ","alegria"
"a arrumação esta terminada, que alívio","alegria"
"o câncer e benigno ","alegria"
"o amor e abundante","alegria"
"vamos ser caridosos este natal","alegria"
"com todo esse charme você irá atrair a todos","alegria"
"nossa como você e charmoso querido ","alegria"
"sou querida pelos meu amigos","alegria"
"seja cuidadoso com os meus sentimentos","alegria"
"estou comovido com tamanha caridade","alegria"
"um chá quente e reconfortante","alegria"
"que alegria ter vocês aqui ","alegria"
"vamos aplaudir o vencedor ","alegria"
"palmas para a aniversariante","alegria"
"desejo a você tudo de bom","alegria"
"hora de apreciar um bom vinho","alegria"
"aprecio sua presença em minha escola","alegria"
"anseio por seus próximos trabalhos","alegria"
"maravilhoso jogo amistoso","alegria"
"e ótimo que os ânimos tenham se apaziguado","alegria"
"concretizei finalmente meu sonho","alegria"
"eu imploro, não me matem!","medo"
"tem certeza que não e perigoso?","medo"
"não tenho certeza se e seguro","medo"
"tenho que correr pra não me pegarem","medo"
"socorro! ele queria roubar os meus doces!","medo"
"esse cara está me perseguindo","medo"
"não entro lá, e um lugar muito perigoso","medo"
"este lugar continua assustador","medo"
"na selva tem muitos animais perigosos","medo"
"avancem com cautela","medo"
"este lugar está silencioso de mais, cuidado!","medo"
"por favor, deixe-me viver!","medo"
"vou ficar sem mesada se tirar nota baixa","medo"
"parece que tem olhos nos vigiando","medo"
"eu temo que a sentença do juiz possa ser negativa","medo"
"mas essa missão e arriscada","medo"
"salvem-se quem puder!","medo"
"meu plano pode ser descoberto","medo"
"não tive culpa, juro não fui eu","medo"
"tenho que tomar cuidado com o lobisomem","medo"
"se eu não achar, ele vai descobrir a verdade","medo"
"meu deus, ele desapareceu!","medo"
"tomara que eles não me vejam daqui!","medo"
"mantenha isso em segredo, se descobrirem estaremos ferrados","medo"
"por favor, me soltem, eu sou inocente","medo"
"estou ouvindo passos atrás de mim","medo"
"eu vou pedir socorro!","medo"
"cuidado com as curvas na estrada","medo"
"não sei não, parece perigoso","medo"
"estou tremendo de medo!","medo"
"socorro, eu vou cair!","medo"
"eu não vou ate a floresta negra, e muito perigoso","medo"
"ouço passos na minha direção","medo"
"acho que está arriscado de mais","medo"
"vamos voltar, e muito perigoso","medo"
"fuja, se não acabaremos mortos","medo"
"receio por não me livrar desta situação","medo"
"socorro! ele está armado!","medo"
"ei cuidado, você vai bater no poste!","medo"
"socorro, nós estamos afundando","medo"
"e serio, cuidado com essa arma!","medo"
"os tubarões estão atacando!","medo"
"sinto arrepios quando fico sozinho no escuro","medo"
"calma, eu não estou com o dinheiro","medo"
"eu acho que estou sendo enganado","medo"
"ligeiro, temos que fugir depressa","medo"
"tem um crocodilo selvagem vindo para cá","medo"
"se ficarmos quietos eles não vão nos achar","medo"
"fuja! o tigre parece faminto","medo"
"estou sem saída, preciso de um milagre","medo"
"tire isso de mim! socorro!","medo"
"não sei nadar, vou me afogar!","medo"
"não tenho certeza se e seguro","medo"
"vou apanhar se meus pais verem meu boletim","medo"
"não consigo sair daqui!","medo"
"se sair tão tarde, poderei ser assaltada","medo"
"não me deixe por favor!","medo"
"espere, não pode me largar aqui sozinho","medo"
"temo pela sua segurança","medo"
"eu te entrego o dinheiro, por favor não me mate!","medo"
"ele vai levar todo o meu dinheiro","medo"
"não dirija tão rápido assim","medo"
"me descobriram, irão me prender!","medo"
"só espero que não me façam nenhum mal","medo"
"vou me afogar, me ajudem a sair da água","medo"
"não estaremos a salvo aqui","medo"
"não quero nem pensar no que pode acontecer","medo"
"nessa cidade e uma desgraça atrás da outra","medo"
"alguem esta me ligando, estou assustado","medo"
"isso não e remedio, não me matem","medo"
"eu não confio nele, tenho que ter cautela","medo"
"muita cautela","medo"
"vou ser descoberto, meu deus","medo"
"receio que terei de ir","medo"
"a noite e muito perigosa","medo"
"estou estremecendo com essa casa","medo"
"olha aquela criatura se movendo monstruosamente","medo"
"não agüento este suspense","medo"
"afugente os cães","medo"
"estou chocado e amedrontado com este assassinato brutal","medo"
"e preciso afugenta com ímpeto este medo do inferno","medo"
"seu políticos usam suas forças para afugentar e amedrontar o povo","medo"
"o objetivo disso e apenas me amedrontar mais","medo"
"isso me apavora","medo"
"ele a feriu profundamente","raiva"
"vou despejar minha cólera em você","raiva"
"me sinto atormentado","raiva"
"não me contrarie","raiva"
"vou destruir tudo  que foi construído","raiva"
"não consigo terminar este trabalho, e muito frustrante","raiva"
"me frustra a sua presença aqui","raiva"
"esta comida me parece muito ruim","raiva"
"você me destrói","raiva"
"estamos separados","raiva"
"estou odiando este vestido","raiva"
"não pude comprar meu celular hoje","raiva"
"ela e uma garota ruim","raiva"
"estivemos em um show horroroso","raiva"
"o ingresso estava muito caro","raiva"
